,airline,duration,total_stops,price,date_of_journey,depature_time,sources,arrival_time,desinations
0,Air Asia,6h 35m,1 Stop,"5,953",23-10-2021,09:25,New Delhi,16:00,Mumbai
1,Air Asia,7h 35m,1 Stop,"5,953",23-10-2021,12:40,New Delhi,20:15,Mumbai
2,Air Asia,8h 20m,1 Stop,"5,953",23-10-2021,11:55,New Delhi,20:15,Mumbai
3,Air Asia,11h 40m,1 Stop,"5,953",23-10-2021,18:40,New Delhi,06:20,"+ 1 day
Mumbai"
4,Air Asia,14h 10m,1 Stop,"5,953",23-10-2021,08:00,New Delhi,22:10,Mumbai
5,Air Asia,16h 05m,1 Stop,"5,953",23-10-2021,08:35,New Delhi,00:40,"+ 1 day
Mumbai"
6,Go First,2h 05m,Non Stop,"5,954",23-10-2021,06:15,New Delhi,08:20,Mumbai
7,Go First,2h 05m,Non Stop,"5,954",23-10-2021,10:55,New Delhi,13:00,Mumbai
8,Go First,2h 05m,Non Stop,"5,954",23-10-2021,20:30,New Delhi,22:35,Mumbai
9,Go First,2h 05m,Non Stop,"5,954",23-10-2021,21:30,New Delhi,23:35,Mumbai
10,Go First,2h 05m,Non Stop,"5,954",23-10-2021,22:45,New Delhi,00:50,"+ 1 day
Mumbai"
11,Go First,2h 10m,Non Stop,"5,954",23-10-2021,12:45,New Delhi,14:55,Mumbai
12,Go First,4h 40m,1 Stop,"5,954",23-10-2021,17:45,New Delhi,22:25,Mumbai
13,Go First,5h 35m,1 Stop,"5,954",23-10-2021,15:30,New Delhi,21:05,Mumbai
14,Go First,6h 55m,1 Stop,"5,954",23-10-2021,08:50,New Delhi,15:45,Mumbai
15,Go First,7h 15m,1 Stop,"5,954",23-10-2021,15:30,New Delhi,22:45,Mumbai
16,Vistara,2h 00m,Non Stop,"5,955",23-10-2021,06:00,New Delhi,08:00,Mumbai
17,SpiceJet,2h 00m,Non Stop,"5,955",23-10-2021,18:40,New Delhi,20:40,Mumbai
18,IndiGo,2h 00m,Non Stop,"5,955",23-10-2021,19:05,New Delhi,21:05,Mumbai
19,Air India,2h 05m,Non Stop,"5,955",23-10-2021,07:00,New Delhi,09:05,Mumbai
20,IndiGo,2h 05m,Non Stop,"5,955",23-10-2021,13:10,New Delhi,15:15,Mumbai
21,IndiGo,2h 05m,Non Stop,"5,955",23-10-2021,14:00,New Delhi,16:05,Mumbai
22,Vistara,2h 05m,Non Stop,"5,955",23-10-2021,15:10,New Delhi,17:15,Mumbai
23,IndiGo,2h 05m,Non Stop,"5,955",23-10-2021,20:30,New Delhi,22:35,Mumbai
24,IndiGo,2h 10m,Non Stop,"5,955",23-10-2021,05:00,New Delhi,07:10,Mumbai
25,IndiGo,2h 10m,Non Stop,"5,955",23-10-2021,06:10,New Delhi,08:20,Mumbai
26,Air India,2h 10m,Non Stop,"5,955",23-10-2021,08:00,New Delhi,10:10,Mumbai
27,Vistara,2h 10m,Non Stop,"5,955",23-10-2021,09:30,New Delhi,11:40,Mumbai
28,Air India,2h 10m,Non Stop,"5,955",23-10-2021,10:40,New Delhi,12:50,Mumbai
29,SpiceJet,2h 10m,Non Stop,"5,955",23-10-2021,16:20,New Delhi,18:30,Mumbai
30,Vistara,2h 10m,Non Stop,"5,955",23-10-2021,16:55,New Delhi,19:05,Mumbai
31,Air India,2h 10m,Non Stop,"5,955",23-10-2021,20:00,New Delhi,22:10,Mumbai
32,Vistara,2h 10m,Non Stop,"5,955",23-10-2021,21:40,New Delhi,23:50,Mumbai
33,IndiGo,2h 10m,Non Stop,"5,955",23-10-2021,21:55,New Delhi,00:05,"+ 1 day
Mumbai"
34,SpiceJet,2h 15m,Non Stop,"5,955",23-10-2021,06:50,New Delhi,09:05,Mumbai
35,Vistara,2h 15m,Non Stop,"5,955",23-10-2021,07:30,New Delhi,09:45,Mumbai
36,Air India,2h 15m,Non Stop,"5,955",23-10-2021,09:00,New Delhi,11:15,Mumbai
37,IndiGo,2h 15m,Non Stop,"5,955",23-10-2021,10:10,New Delhi,12:25,Mumbai
38,Vistara,2h 15m,Non Stop,"5,955",23-10-2021,10:20,New Delhi,12:35,Mumbai
39,Air India,2h 15m,Non Stop,"5,955",23-10-2021,19:00,New Delhi,21:15,Mumbai
40,Vistara,2h 15m,Non Stop,"5,955",23-10-2021,19:45,New Delhi,22:00,Mumbai
41,SpiceJet,2h 15m,Non Stop,"5,955",23-10-2021,21:10,New Delhi,23:25,Mumbai
42,Vistara,2h 20m,Non Stop,"5,955",23-10-2021,08:50,New Delhi,11:10,Mumbai
43,Vistara,2h 20m,Non Stop,"5,955",23-10-2021,17:45,New Delhi,20:05,Mumbai
44,Vistara,2h 20m,Non Stop,"5,955",23-10-2021,18:55,New Delhi,21:15,Mumbai
45,SpiceJet,2h 20m,Non Stop,"5,955",23-10-2021,20:20,New Delhi,22:40,Mumbai
46,Air India,3h 10m,1 Stop,"5,955",23-10-2021,15:05,New Delhi,18:15,Mumbai
47,Air India,3h 35m,1 Stop,"5,955",23-10-2021,18:00,New Delhi,21:35,Mumbai
48,SpiceJet,3h 50m,1 Stop,"5,955",23-10-2021,10:00,New Delhi,13:50,Mumbai
49,IndiGo,4h 15m,1 Stop,"5,955",23-10-2021,08:55,New Delhi,13:10,Mumbai
50,IndiGo,4h 15m,1 Stop,"5,955",23-10-2021,18:45,New Delhi,23:00,Mumbai
51,IndiGo,4h 55m,1 Stop,"5,955",23-10-2021,13:40,New Delhi,18:35,Mumbai
52,IndiGo,5h 15m,1 Stop,"5,955",23-10-2021,09:35,New Delhi,14:50,Mumbai
53,IndiGo,5h 40m,1 Stop,"5,955",23-10-2021,13:50,New Delhi,19:30,Mumbai
54,IndiGo,5h 50m,1 Stop,"5,955",23-10-2021,07:20,New Delhi,13:10,Mumbai
55,IndiGo,7h 40m,1 Stop,"5,955",23-10-2021,13:50,New Delhi,21:30,Mumbai
56,IndiGo,7h 45m,1 Stop,"5,955",23-10-2021,08:55,New Delhi,16:40,Mumbai
57,IndiGo,9h 10m,1 Stop,"5,955",23-10-2021,13:50,New Delhi,23:00,Mumbai
58,IndiGo,9h 20m,1 Stop,"5,955",23-10-2021,07:20,New Delhi,16:40,Mumbai
59,IndiGo,10h 05m,1 Stop,"5,955",23-10-2021,12:30,New Delhi,22:35,Mumbai
60,IndiGo,10h 35m,1 Stop,"5,955",23-10-2021,08:10,New Delhi,18:45,Mumbai
61,IndiGo,10h 35m,1 Stop,"5,955",23-10-2021,08:55,New Delhi,19:30,Mumbai
62,SpiceJet,24h 10m,1 Stop,"5,955",23-10-2021,11:20,New Delhi,11:30,"+ 1 day
Mumbai"
63,Air Asia,2h 20m,Non Stop,"5,956",23-10-2021,19:55,New Delhi,22:15,Mumbai
64,Vistara,2h 10m,Non Stop,"6,060",23-10-2021,12:45,New Delhi,14:55,Mumbai
65,IndiGo,2h 15m,Non Stop,"6,165",23-10-2021,15:35,New Delhi,17:50,Mumbai
66,IndiGo,2h 25m,Non Stop,"6,165",23-10-2021,17:45,New Delhi,20:10,Mumbai
67,Air Asia,16h 35m,2 Stop(s),"6,166",23-10-2021,05:35,New Delhi,22:10,Mumbai
68,Go First,1h 55m,Non Stop,"6,532",23-10-2021,18:50,New Delhi,20:45,Mumbai
69,Go First,2h 00m,Non Stop,"6,532",23-10-2021,09:05,New Delhi,11:05,Mumbai
70,Go First,2h 05m,Non Stop,"6,532",23-10-2021,14:20,New Delhi,16:25,Mumbai
71,IndiGo,2h 05m,Non Stop,"6,585",23-10-2021,12:00,New Delhi,14:05,Mumbai
72,IndiGo,2h 10m,Non Stop,"6,585",23-10-2021,08:55,New Delhi,11:05,Mumbai
73,IndiGo,7h 15m,1 Stop,"7,320",23-10-2021,11:30,New Delhi,18:45,Mumbai
74,Air India,3h 55m,1 Stop,"7,468",23-10-2021,05:45,New Delhi,09:40,Mumbai
75,Air India,13h 40m,1 Stop,"7,468",23-10-2021,20:00,New Delhi,09:40,"+ 1 day
Mumbai"
76,Air India,17h 40m,1 Stop,"7,468",23-10-2021,05:45,New Delhi,23:25,Mumbai
77,Air Asia,8h 35m,1 Stop,"7,926",23-10-2021,08:00,New Delhi,16:35,Mumbai
78,IndiGo,4h 25m,1 Stop,"8,055",23-10-2021,18:10,New Delhi,22:35,Mumbai
79,Air India,4h 30m,1 Stop,"8,475",23-10-2021,13:20,New Delhi,17:50,Mumbai
80,IndiGo,9h 10m,1 Stop,"8,633",23-10-2021,07:40,New Delhi,16:50,Mumbai
81,Air India,8h 35m,1 Stop,"8,790",23-10-2021,07:15,New Delhi,15:50,Mumbai
82,Air Asia,5h 55m,1 Stop,"8,869",23-10-2021,16:15,New Delhi,22:10,Mumbai
83,Air Asia,14h 05m,1 Stop,"8,869",23-10-2021,16:15,New Delhi,06:20,"+ 1 day
Mumbai"
84,Air India,17h 45m,2 Stop(s),"9,000",23-10-2021,05:20,New Delhi,23:05,Mumbai
85,Air India,28h 00m,2 Stop(s),"9,000",23-10-2021,05:20,New Delhi,09:20,"+ 1 day
Mumbai"
86,Air India,23h 50m,1 Stop,"9,315",23-10-2021,20:10,New Delhi,20:00,"+ 1 day
Mumbai"
87,Air India,11h 05m,2 Stop(s),"9,590",23-10-2021,05:20,New Delhi,16:25,Mumbai
88,Air India,23h 50m,2 Stop(s),"9,590",23-10-2021,16:35,New Delhi,16:25,"+ 1 day
Mumbai"
89,IndiGo,5h 00m,1 Stop,"9,840",23-10-2021,08:10,New Delhi,13:10,Mumbai
90,Vistara,4h 25m,1 Stop,"9,945",23-10-2021,17:10,New Delhi,21:35,Mumbai
91,Air India,24h 50m,1 Stop,"9,945",23-10-2021,15:05,New Delhi,15:55,"+ 1 day
Mumbai"
92,Air India,6h 35m,1 Stop,"9,988",23-10-2021,12:50,New Delhi,19:25,Mumbai
93,Air India,24h 35m,1 Stop,"9,988",23-10-2021,13:00,New Delhi,13:35,"+ 1 day
Mumbai"
94,IndiGo,5h 25m,1 Stop,"9,998",23-10-2021,13:10,New Delhi,18:35,Mumbai
95,IndiGo,9h 00m,1 Stop,"9,998",23-10-2021,09:35,New Delhi,18:35,Mumbai
96,IndiGo,9h 35m,1 Stop,"10,155",23-10-2021,08:10,New Delhi,17:45,Mumbai
97,Go First,4h 50m,1 Stop,"10,365",23-10-2021,08:10,New Delhi,13:00,Mumbai
98,Vistara,4h 35m,1 Stop,"10,470",23-10-2021,17:10,New Delhi,21:45,Mumbai
99,Air India,18h 55m,1 Stop,"10,470",23-10-2021,18:30,New Delhi,13:25,"+ 1 day
Mumbai"
100,Go First,5h 00m,1 Stop,"10,575",23-10-2021,10:40,New Delhi,15:40,Mumbai
101,Go First,5h 50m,1 Stop,"10,575",23-10-2021,13:30,New Delhi,19:20,Mumbai
102,Go First,6h 45m,1 Stop,"10,575",23-10-2021,12:35,New Delhi,19:20,Mumbai
103,Go First,6h 50m,1 Stop,"10,575",23-10-2021,10:40,New Delhi,17:30,Mumbai
104,Go First,7h 30m,1 Stop,"10,575",23-10-2021,08:10,New Delhi,15:40,Mumbai
105,Go First,9h 20m,1 Stop,"10,575",23-10-2021,08:10,New Delhi,17:30,Mumbai
106,Vistara,5h 00m,1 Stop,"10,680",23-10-2021,13:20,New Delhi,18:20,Mumbai
107,Air India,9h 45m,1 Stop,"10,680",23-10-2021,21:25,New Delhi,07:10,"+ 1 day
Mumbai"
108,Air India,12h 15m,1 Stop,"10,680",23-10-2021,21:25,New Delhi,09:40,"+ 1 day
Mumbai"
109,Air India,13h 45m,1 Stop,"10,680",23-10-2021,09:45,New Delhi,23:30,Mumbai
110,Air India,15h 10m,1 Stop,"10,680",23-10-2021,08:20,New Delhi,23:30,Mumbai
111,Air India,21h 25m,1 Stop,"10,680",23-10-2021,09:45,New Delhi,07:10,"+ 1 day
Mumbai"
112,Air India,22h 50m,1 Stop,"10,680",23-10-2021,08:20,New Delhi,07:10,"+ 1 day
Mumbai"
113,Air India,23h 55m,1 Stop,"10,680",23-10-2021,09:45,New Delhi,09:40,"+ 1 day
Mumbai"
114,Air India,27h 30m,2 Stop(s),"10,680",23-10-2021,12:10,New Delhi,15:40,"+ 1 day
Mumbai"
115,IndiGo,4h 00m,1 Stop,"10,733",23-10-2021,13:45,New Delhi,17:45,Mumbai
116,Vistara,7h 55m,1 Stop,"10,785",23-10-2021,13:40,New Delhi,21:35,Mumbai
117,Vistara,17h 50m,1 Stop,"10,785",23-10-2021,17:10,New Delhi,11:00,"+ 1 day
Mumbai"
118,Air India,5h 25m,1 Stop,"11,100",23-10-2021,10:15,New Delhi,15:40,Mumbai
